Exported data

	ID	LAB_ID	CAGE_ID	STRAIN	DOB	SACRIFICE	GENDER	GROUP	COHORT_DATE	COHORT_ID	Sacrifice_state	STATUS CODE	COMMENT	HELP	HELP2
585	E64-G5534	1L1R	SE83-39926	Brinp3	2021-12-26	2022-04-20	M	M hom Brinp3	2022-02-28	c233				1	1
586	E64-G5541	1L3R	SE83-39927	Brinp3	2021-12-26	2022-04-20	M	M hom Brinp3	2022-02-28	c233				1	1
587	E64-G5557	3L1R	SE83-39930	Brinp3	2021-12-26	2022-03-29	F	F hom Brinp3	2022-02-28	c233	Died before uCT			0	1
588	E64-G5570	2L3R	SE83-39929	Brinp3	2021-12-26	2022-04-20	M	M hom Brinp3	2022-02-28	c233				1	1
589	E64-G5573	3L3R	SE83-39929	Brinp3	2021-12-26	2022-04-20	M	M hom Brinp3	2022-02-28	c233				1	1
590	E64-G5576	1L3R	SE83-39930	Brinp3	2021-12-26	2022-04-20	F	F hom Brinp3	2022-02-28	c233				1	1
591	E64-G5577	3L2R	SE83-39930	Brinp3	2021-12-26	2022-04-20	F	F hom Brinp3	2022-02-28	c233				1	1
592	E64-G5579	4L	SE83-39931	Brinp3	2021-12-27	2022-04-21	M	M hom Brinp3	2022-02-28	c233				1	1
593	E64-G5581	1L	SE64-40674	Brinp3	2021-12-27	2022-01-21	F	F hom Brinp3	2022-02-28	c233	Died before entering pipeline			0	0
594	E64-G5582	2L3R	SE83-39930	Brinp3	2021-12-27	2022-04-21	F	F hom Brinp3	2022-02-28	c233				1	1
595	E64-G5595	1L4R	SE83-39933	Brinp3	2021-12-27	2022-04-21	M	M hom Brinp3	2022-02-28	c233				1	1
596	E64-G5596	4R	SE83-39933	Brinp3	2021-12-27	2022-04-21	M	M hom Brinp3	2022-02-28	c233				1	1
597	E64-G5597	2L4R	SE83-39933	Brinp3	2021-12-27	2022-04-21	M	M hom Brinp3	2022-02-28	c233				1	1
598	E64-G5598	1L	SE83-39934	Brinp3	2021-12-27	2022-04-21	F	F hom Brinp3	2022-02-28	c233				1	0
599	E64-G5599	1R	SE83-39934	Brinp3	2021-12-27	2022-04-21	F	F hom Brinp3	2022-02-28	c233				1	1
600	E64-G5600	1L1R	SE83-39934	Brinp3	2021-12-27	2022-04-21	F	F hom Brinp3	2022-02-28	c233				1	1
601	82Z-09599	1L2R	S83Z-03283	C57Bl/6NCrl	2021-12-25	2022-04-22	M	M wt C57Bl/6NCrl	2022-02-28	c233				1	1
602	82Z-09600	2L2R	S83Z-03283	C57Bl/6NCrl	2021-12-25	2022-04-21	M	M wt C57Bl/6NCrl	2022-02-28	c233				1	1
603	82Z-09601	3L	S83Z-03283	C57Bl/6NCrl	2021-12-25	2022-04-20	M	M wt C57Bl/6NCrl	2022-02-28	c233				1	1
604	82Z-09602	2L	S83Z-03284	C57Bl/6NCrl	2021-12-25	2022-04-20	F	F wt C57Bl/6NCrl	2022-02-28	c233				1	1
605	82Z-09603	2R	S83Z-03284	C57Bl/6NCrl	2021-12-25	2022-04-21	F	F wt C57Bl/6NCrl	2022-02-28	c233				1	1
606	82Z-09604	2L1R	S83Z-03284	C57Bl/6NCrl	2021-12-25	2022-04-22	F	F wt C57Bl/6NCrl	2022-02-28	c233				1	1
607	E64-G5481	1L2R	SE83-39935	Gm20219	2021-12-29	2022-04-22	F	F hom Tincr	2022-02-28	c233				1	1
608	E64-G5482	2L2R	SE83-39935	Gm20219	2021-12-29	2022-04-22	F	F hom Tincr	2022-02-28	c233				1	1
609	E64-G5488	3L1R	SE83-39936	Gm20219	2021-12-26	2022-04-22	M	M hom Tincr	2022-02-28	c233				1	1
610	E64-G5489	3L	SE83-39935	Gm20219	2021-12-26	2022-04-22	F	F hom Tincr	2022-02-28	c233				1	1
611	E64-G5490	3R	SE83-39935	Gm20219	2021-12-26	2022-04-22	F	F hom Tincr	2022-02-28	c233				1	1
612	E64-G5492	1L	SE83-40090	Gm20219	2021-12-26	2022-04-22	M	M hom Tincr	2022-02-28	c233				1	1
613	E64-G5493	1R	SE83-39938	Gm20219	2021-12-26	2022-04-22	M	M hom Tincr	2022-02-28	c233				1	1
614	E64-G5496	2R	SE83-39938	Gm20219	2021-12-26	2022-04-22	M	M hom Tincr	2022-02-28	c233				1	1
615	E64-G5503	2L	SE83-39939	Gm20219	2021-12-28	2022-04-22	M	M hom Tincr	2022-02-28	c233				1	1
616	E64-G5511	3R	SE83-39940	Gm20219	2021-12-27	2022-04-20	M	M hom Tincr	2022-02-28	c233				1	1
617	E64-G5513	3L2R	SE83-39940	Gm20219	2021-12-27	2022-04-20	M	M hom Tincr	2022-02-28	c233				1	1
618	E64-G5515	2L1R	SE83-39940	Gm20219	2021-12-27	2022-04-20	M	M hom Tincr	2022-02-28	c233				1	1
